,x,y,z,result
307,-4.5777307,-376.07932,-21.741669,0.996275
308,-137.67433,-382.56097,12.366696,0.999571
309,-823.9679,-363.32196,48.999649,0.999661
310,-5.9354467,-238.87845,-7.8778176,1.000321
311,37.183655,-432.89798,-69.238228,1.002753
312,-4.0521774,-444.36319,-31.208605,0.989181
313,-789.57733,-362.67349,50.790951,0.999746
314,29.068123,-364.68155,-68.792053,1.005119
315,-722.74976,-258.14468,58.488728,0.999625
316,42.0998,-467.04169,-69.346703,1.002158
317,-756.48907,-293.20956,55.601757,0.99971
318,-722.08405,-292.56918,57.183151,0.999648
319,-721.42389,-326.98703,55.603085,0.999641
320,32.80674,-398.6875,-69.555313,1.004219
321,-755.17389,-362.02939,52.400436,0.999732
322,-720.77417,-361.40707,53.961559,0.99966
323,22.5455,-296.72986,-69.276268,1.005074
324,-5.1833854,-307.49557,-14.103283,0.999408
325,-788.92944,-397.08273,49.173,0.999752
326,18.990263,-228.74803,-63.776836,0.996856
327,-822.68573,-432.15283,45.609978,0.999625
328,25.665714,-330.5477,-69.498375,1.006551
329,-788.28802,-431.47729,47.212463,0.999736
330,-787.64246,-465.87744,45.107536,0.999767
331,-821.3963,-500.94321,41.409233,0.999617
332,20.080214,-262.68808,-67.259789,1.004631
333,-787.00525,-500.26224,43.023399,0.999782
334,-720.11359,-395.79324,51.881001,0.999751
335,-8.9464884,-101.93378,0.39797387,1.004558
336,-142.12898,-108.02078,31.893223,1.000082
337,-753.88538,-430.84464,48.756943,0.999821
338,-13.829523,33.187336,2.9953661,1.002611
339,20.598858,-161.16832,-56.895481,0.997767
340,-6.8901787,-170.17145,-3.1613946,1.000826
341,-719.47882,-430.19043,49.870316,0.999842
342,21.388689,-93.43206,-45.327171,1.006358
343,-718.83112,-464.58261,47.691662,0.999909
344,19.726618,-194.88091,-60.07354,0.999749
345,-752.58783,-499.59772,44.122761,0.99983
346,-718.19019,-498.94125,45.243576,0.999901
347,-692.99084,-16.31233,64.558014,0.998817
348,21.231438,-127.24644,-52.925461,0.999261
349,-658.57031,-15.640445,65.75946,0.998675
350,23.648666,-84.617744,-65.094589,1.009722
351,21.469769,-28.725315,-35.495228,1.004966
352,-11.856524,-34.129261,2.4219561,1.001646
353,-657.90131,-50.137886,65.63958,0.998969
354,21.292374,37.793991,-33.865932,1.006155
355,23.083546,-57.347919,-62.429737,1.007898
356,21.355024,-60.494297,-37.623676,1.004163
357,-691.65356,-85.260605,64.044601,0.999277
358,23.122404,-25.340586,-60.759003,1.00943
359,23.130922,7.8713541,-60.009754,1.00976
360,21.42519,4.5332289,-33.664635,1.007235
361,-657.23413,-84.61837,65.326622,0.99927
362,22.961308,41.343456,-59.839397,1.011169
363,-624.1554,-14.972142,66.749756,0.998622
364,-430.021,573.63715,30.054836,0.997061
365,-589.73431,-14.300531,67.409805,0.998596
366,-589.05591,-48.81599,67.304588,0.998809
367,-150.60396,303.37399,22.518959,0.999415
368,-423.79355,299.30246,56.306343,0.999425
369,-622.80939,-83.966637,66.227028,0.999184
370,-158.61366,576.35162,-11.502542,0.999853
371,-16.870518,168.94554,-0.27103165,1.000324
372,-147.60161,166.01988,30.745373,0.99982
373,-588.37689,-83.308899,66.891502,0.999104
374,-20.277197,306.20203,-9.6772242,1.000031
375,20.461504,105.03056,-34.796329,1.008787
376,-15.764673,100.87678,2.326375,1.006387
377,-656.57037,-119.07452,64.734619,0.999421
